master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
xyp_001_XY-P,XYP,001/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_030_XY-P,XYP,030/XY-P,ポケモン,炎,リザードンEX,-,A,False
xyp_037_XY-P,XYP,037/XY-P,ポケモン,闘,ダークライ,-,A,False
xyp_051_XY-P,XYP,051/XY-P,ポケモン,悪,ゼルネアス,-,A,False
xyp_052_XY-P,XYP,052/XY-P,ポケモン,雷,イベルタル,-,A,False
xyp_053_XY-P,XYP,053/XY-P,ポケモン,悪,ディアンシー,-,A,False
xyp_054_XY-P,XYP,054/XY-P,ポケモン,悪,ディアンシー,-,A,False
xyp_056_XY-P,XYP,056/XY-P,ポケモン,雷,ポケテレのADピカチュウ,-,A,False
xyp_064_XY-P,XYP,064/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_064_XY-P,XYP,064/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_068_XY-P,XYP,068/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_069_XY-P,XYP,069/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_070_XY-P,XYP,070/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_090_XY-P,XYP,090/XY-P,ポケモン,雷,ピカチュウ,-,A,False
xyp_091_XY-P,XYP,091/XY-P,ポケモン,悪,ニンフィア,-,A,False
xyp_092_XY-P,XYP,092/XY-P,ポケモン,悪,ディアンシーEX,-,A,False
xyp_093_XY-P,XYP,093/XY-P,ポケモン,悪,MディアンシーEX,-,A,False
xyp_094_XY-P,XYP,094/XY-P,ポケモン,雷,あったかピカチュウ,-,A,False
xyp_095_XY-P,XYP,095/XY-P,ポケモン,雷,あったかピカチュウ,-,A,False
xyp_096_XY-P,XYP,096/XY-P,ポケモン,雷,あったかピカチュウ,-,A,False
xyp_097_XY-P,XYP,097/XY-P,ポケモン,雷,あったかピカチュウ,-,A,False
xyp_098_XY-P,XYP,098/XY-P,ポケモン,雷,メガトウキョーのピカチュウ,-,A,False
xyp_099_XY-P,XYP,099/XY-P,ポケモン,雷,おきがえピカチュウ,-,A,False
xyp_121_XY-P,XYP,121/XY-P,トレーナーズ,サポート,ダイゴ,-,A,False
xyp_122_XY-P,XYP,122/XY-P,ポケモン,雷,レックウザEX,-,A,False
xyp_123_XY-P,XYP,123/XY-P,ポケモン,雷,レックウザEX,-,A,False
xyp_129_XY-P,XYP,129/XY-P,ポケモン,炎,ジラーチ,-,G,False
xyp_139_XY-P,XYP,139/XY-P,トレーナーズ,スタジアム,オールナイトパーティ,-,A,False
xyp_140_XY-P,XYP,140/XY-P,ポケモン,闘,ブラッキー,-,A,False
xyp_141_XY-P,XYP,141/XY-P,ポケモン,悪,ニンフィア,-,A,False
xyp_142_XY-P,XYP,142/XY-P,ポケモン,草,セレビィ,-,A,False
